Disease	Disease_id	Gene	Gene_id	Score_gda	Association_Type	 Type	Original_DB	Sentence	PMID	PMID_Year
Heart failure	C0018801	AGTR1	185	0.6	Therapeutic		RGD	"To investigate the possible effects of telmisartan and losartan on cardiac function in adriamycin (ADR)-induced <span class=""disease"" id=""21963897-1-112-125"">heart failure</span> in rats, and to explore the changes in plasma level of angiotensin-(1-7)[Ang-(1-7)] and myocardial expression of angiotensin II type 1/2 receptors (<span class=""gene"" id=""21963897-1-274-280"">AT(1)R</span> / AT(2)R) and Mas receptor caused by the two drugs."	21963897.0	2012.0
Heart failure	C0018801	NFE2L2	4780	0.31	Therapeutic		CTD_human	"Loss of <span class=""gene"" id=""28373008-0-8-12"">Nrf2</span> promotes rapid progression to <span class=""disease"" id=""28373008-0-43-56"">heart failure</span> following myocardial infarction."	28373008.0	2017.0
Heart failure	C0018801	TIMP2	7077	0.2	Biomarker		RGD	MMP/TIMP expression in spontaneously hypertensive heart failure rats: the effect of ACE- and MMP-inhibition.	10773234.0	2000.0
Heart failure	C0018801	HIF1A	3091	0.57	Biomarker		BEFREE	"We hypothesized that the frequency of GT(n) repeats in pediatric <span class=""disease"" id=""25822459-3-65-78"">heart failure</span> (<span class=""disease"" id=""25822459-3-80-82"">HF</span>) reflects plasma biomarkers of different disease processes: the soluble receptor for advance glycation end products (sRAGE, marking cellular activation), oxLDL (oxidative stress), NGAL (impaired renal function), <span class=""gene"" id=""25822459-3-295-301"">HIF-1α</span> (hypoxia) and hsCRP (inflammation)."	25822459.0	2016.0
Heart failure	C0018801	REN	5972	0.4	Biomarker		BEFREE	"The <span class=""gene"" id=""15320851-0-4-9"">renin</span>-angiotensin system: the role of inhibitors, blockers, and genetic polymorphisms in the treatment and prevention of <span class=""disease"" id=""15320851-0-125-138"">heart failure</span>."	15320851.0	2004.0
Heart failure	C0018801	AKT1	207	0.03	Biomarker		BEFREE	"In consensus, overexpression of miR-21 in a transgenic mouse heart resulted in suppression of ischemia-induced up-regulation of PTEN and FasL expression, an increase in phospho-<span class=""gene"" id=""20404348-9-177-180"">AKT</span>, a smaller infarct size, and ameliorated <span class=""disease"" id=""20404348-9-222-235"">heart failure</span>."	20404348.0	2010.0
Heart failure	C0018801	RELA	5970	0.01	Biomarker		BEFREE	"Cardiomyocyte NF-κB <span class=""gene"" id=""20797985-0-20-23"">p65</span> promotes adverse remodelling, apoptosis, and endoplasmic reticulum stress in <span class=""disease"" id=""20797985-0-101-114"">heart failure</span>."	20797985.0	2011.0
Heart failure	C0018801	TNNI3K	51086	0.02	Biomarker		BEFREE	"<span class=""gene"" id=""23472207-14-0-6"">TNNI3K</span> could be a potential therapeutic target for preventing from <span class=""disease"" id=""23472207-14-67-80"">heart failure</span>."	23472207.0	2013.0
Heart failure	C0018801	AGT	183	0.6	Biomarker		BEFREE	"<span class=""gene"" id=""18612202-1-0-14"">Angiotensin II</span> plays a key role in the pathophysiology of <span class=""disease"" id=""18612202-1-58-71"">heart failure</span> (<span class=""disease"" id=""18612202-1-73-75"">HF</span>)."	18612202.0	2009.0
Heart failure	C0018801	DES	1674	0.05	Biomarker		BEFREE	"Up-regulation was evident for muscle LIM protein (Mlp), <span class=""gene"" id=""25541130-11-56-62"">desmin</span>, and <span class=""disease"" id=""25541130-11-68-81"">heart failure</span> (natriuretic peptide A [Nppa], Nppb, and myosin heavy chain 6) and fibrosis (transforming growth factor beta 1, alpha-smooth muscle actin, osteopontin, and periostin) markers."	25541130.0	2015.0
Heart failure	C0018801	EHD3	30845	0.01	PosttranslationalModification		BEFREE	"Differential regulation of <span class=""gene"" id=""22406195-0-27-31"">EHD3</span> in human and mammalian <span class=""disease"" id=""22406195-0-55-68"">heart failure</span>."	22406195.0	2012.0
Heart failure	C0018801	ADRB3	155	0.51	Biomarker		CTD_human	"The level of <span class=""gene"" id=""17440824-7-13-33"">beta(3)-adrenoceptor</span> expression in the study groups was significantly higher than the Sham group (P &lt; 0.01). <span class=""gene"" id=""17440824-7-122-142"">beta(3)-adrenoceptor</span> expression in the Carvedilol group was lower than the <span class=""disease"" id=""17440824-7-197-210"">Heart Failure</span> Control and Metoprolol groups (P &lt; 0.01)."	17440824.0	2007.0
Heart failure	C0018801	NPR1	4881	0.32	Biomarker		CTD_human	Targeted disruption of guanylyl cyclase-A/natriuretic peptide receptor-A gene provokes renal fibrosis and remodeling in null mutant mice: role of proinflammatory cytokines.	20881240.0	2011.0
Heart failure	C0018801	PRRT2	112476	0.02	Biomarker		BEFREE	"Enhanced PKC beta II translocation and PKC beta II-RACK1 interactions in <span class=""gene"" id=""11709417-0-73-76"">PKC</span> epsilon-induced <span class=""disease"" id=""11709417-0-93-106"">heart failure</span>: a role for RACK1."	11709417.0	2002.0
Heart failure	C0018801	MIR199A2	406977	0.02	Biomarker		BEFREE	"MiR-103 [area under the curve (AUC) = 0.642, P = 0.007], miR-142-3p (AUC = 0.668, P = 0.002), <span class=""gene"" id=""23696613-7-94-105"">miR-199a-3p</span> (AUC = 0.668, P = 0.002), miR-23a (AUC = 0.637, P = 0.010), miR-27b (AUC = 0.642, P = 0.008), miR-324-5p (AUC = 0.621, P = 0.023), and miR-342-3p (AUC = 0.644, P = 0.007) were associated with <span class=""disease"" id=""23696613-7-298-300"">HF</span> diagnosis in regression and receiver operating characteristic (ROC) analyses."	23696613.0	2014.0
Heart failure	C0018801	NPPB	4879	0.6	Therapeutic		CTD_human	Carvedilol modulates the expression of hypoxia-inducible factor-1alpha and vascular endothelial growth factor in a rat model of volume-overload heart failure.	15732037.0	2005.0
Heart failure	C0018801	GRK2	156	0.6	AlteredExpression		BEFREE	"Expression of a <span class=""gene"" id=""9618528-0-16-49"">beta-adrenergic receptor kinase 1</span> inhibitor prevents the development of <span class=""disease"" id=""9618528-0-88-106"">myocardial failure</span> in gene-targeted mice."	9618528.0	1998.0
Heart failure	C0018801	CALM1	801	0.09	AlteredExpression		BEFREE	"When we compared Ca(+2) handling proteins according to <span class=""disease"" id=""22363514-5-55-57"">HF</span> aetiology, ICM showed higher levels of <span class=""gene"" id=""22363514-5-97-107"">calmodulin</span> (24%, p&lt;0.01), calcineurin (26%, p&lt;0.01) and Ca(2+)/<span class=""gene"" id=""22363514-5-160-170"">Calmodulin</span>-dependent kinase II (CaMKIIδ(b) nuclear isoform 62%, p&lt;0.001) than the CNT group."	22363514.0	2012.0
Heart failure	C0018801	NISCH	11188	0.01	AlteredExpression		LHGDN	The heart possesses imidazoline I1-receptors that are up-regulated in the presence of hypertension or heart failure, which suggests their involvement in cardiovascular regulation.	12021582.0	2002.0
Heart failure	C0018801	AKT1	207	0.03	Biomarker		BEFREE	"Our findings <span class=""negexp"">not only reveal a key role</span> of TRAF3 in regulating the hypertrophic response but also uncover TRAF3-TBK1-<span class=""gene"" id=""26034202-9-117-120"">AKT</span> as a novel signaling pathway in the development of cardiac hypertrophy and <span class=""disease"" id=""26034202-9-196-209"">heart failure</span>."	26034202.0	2015.0
Heart failure	C0018801	AMPD1	270	0.09	GeneticVariation		BEFREE	"<span class=""variant"" dbSNP=""NA"" genes_norm=""NA"">C34T</span> variant of <span class=""gene"" id=""15882662-1-16-51"">adenosine monophosphate deaminase 1</span> (<span class=""gene"" id=""15882662-1-53-58"">AMPD1</span>) gene has been associated with a prolonged survival in <span class=""disease"" id=""15882662-1-114-127"">heart failure</span> and coronary artery disease, hypothetically linked to an enhanced production of adenosine."	15882662.0	2005.0
Heart failure	C0018801	NPR1	4881	0.32	Biomarker		BEFREE	"Natriuretic peptides (NPs) possess anti-fibrotic properties through their receptors, GC-A/GC-B/NPR-C. We sought to evaluate cardiac fibrosis and the endogenous NP system in end-stage <span class=""disease"" id=""25117468-2-183-185"">HF</span> with and without LVAD therapy and to assess the anti-fibrotic actions of the dual <span class=""gene"" id=""25117468-2-268-272"">GC-A</span>/-B activator CD-NP in vitro."	25117468.0	2015.0
Heart failure	C0018801	MMRN1	22915	0.02	Biomarker		BEFREE	"There is <span class=""negexp"">no known program that has declared its aim the investigation of the role</span> of <span class=""gene"" id=""9493904-4-85-88"">ECM</span> gene therapy in <span class=""disease"" id=""9493904-4-105-118"">heart failure</span>."	9493904.0	1998.0
Heart failure	C0018801	IL10	3586	0.23	Biomarker		BEFREE	"Serum concentrations of IL-2, IL-4, <span class=""gene"" id=""8800994-2-36-41"">IL-10</span>, and IL-12 were measured in patients with DCM (WHO criteria), relatives with asymptomatic left ventricular enlargement (LVE), patients with ischaemic <span class=""disease"" id=""8800994-2-192-205"">heart failure</span> (IHD), and healthy controls."	8800994.0	1996.0
Heart failure	C0018801	PRH2	5555	0.04	GeneticVariation		BEFREE	"Here, we describe a deletion of 25 bp in the gene encoding cardiac myosin binding <span class=""gene"" id=""19151713-4-82-91"">protein C</span> (MYBPC3) that is associated with heritable cardiomyopathies and an increased risk of <span class=""disease"" id=""19151713-4-177-190"">heart failure</span> in Indian populations (initial study OR = 5.3 (95% CI = 2.3-13), P = 2 x 10(-6); replication study OR = 8.59 (3.19-25.05), P = 3 x 10(-8); combined OR = 6.99 (3.68-13.57), P = 4 x 10(-11)) and that disrupts cardiomyocyte structure in vitro."	19151713.0	2009.0
Heart failure	C0018801	ERBB2	2064	0.23	Biomarker		BEFREE	"This mini-review highlights these recent findings and suggests the possibility that the loss of <span class=""gene"" id=""11236034-5-96-102"">erbB-2</span> receptor-dependent myocyte survival pathways may create a susceptibility for the onset of <span class=""disease"" id=""11236034-5-193-206"">heart failure</span> in response to the cardiotoxicity of anthracycline treatment."	11236034.0	2001.0
Heart failure	C0018801	EDNRA	1909	0.34	GeneticVariation		BEFREE	"The variant in the Exon 8 of the <span class=""gene"" id=""10529327-6-33-59"">endothelin receptor type A</span> gene appears as a genetic risk factor for idiopathic forms of <span class=""disease"" id=""10529327-6-122-135"">heart failure</span>."	10529327.0	1999.0
Heart failure	C0018801	NR2E3	10002	0.01	Biomarker		BEFREE	"Here we used a swine model of myocardial infarction (MI) to test preliminarily a novel gene therapy for <span class=""disease"" id=""25876005-3-104-117"">heart failure</span> based on delivery of the human <span class=""gene"" id=""25876005-3-149-152"">RNR</span> enzyme complex under the control of a cardiac-specific promoter via an adeno-associated virus serotype 6 vector--designated as BB-R12."	25876005.0	2016.0
Heart failure	C0018801	CNN1	1264	0.01	Biomarker		BEFREE	"<span class=""gene"" id=""24631115-9-0-4"">CNN1</span> could be a therapeutic target to prevent the development of DCM and <span class=""disease"" id=""24631115-9-73-86"">heart failure</span> (<span class=""disease"" id=""24631115-9-88-90"">HF</span>)."	24631115.0	2014.0
Heart failure	C0018801	BAD	572	0.01	PosttranslationalModification		BEFREE	"Consistent with a role for apoptosis in <span class=""disease"" id=""12388275-6-40-53"">heart failure</span>, we also observed a significant decrease in phosphorylation of <span class=""gene"" id=""12388275-6-117-120"">BAD</span> at Ser-112."	12388275.0	2003.0
Heart failure	C0018801	DES	1674	0.05	AlteredExpression		BEFREE	"The present study investigated the effects of IA on myocardial gene expression of the intermediate cytoskeletal filament <span class=""gene"" id=""17924085-3-121-127"">desmin</span>, which is upregulated in <span class=""disease"" id=""17924085-3-153-166"">heart failure</span>."	17924085.0	2008.0
Heart failure	C0018801	DBH	1621	0.01	Biomarker		BEFREE	"Etamicastat is a <span class=""gene"" id=""24296323-1-17-39"">dopamine β-hydroxylase</span> (<span class=""gene"" id=""24296323-1-41-44"">DβH</span>) inhibitor currently in clinical development for the treatment of hypertension and <span class=""disease"" id=""24296323-1-128-141"">heart failure</span>."	24296323.0	2014.0
Heart failure	C0018801	MAP3K20	51776	0.01	Biomarker		BEFREE	"These data suggest that <span class=""gene"" id=""11549352-12-24-28"">MLK7</span> is a new member of the mixed lineage kinase family that modulates cardiac SAPK/JNK pathway and may play a role in cardiac hypertrophy and progression to <span class=""disease"" id=""11549352-12-182-195"">heart failure</span>."	11549352.0	2002.0
Heart failure	C0018801	ADRB1	153	0.6	Biomarker		CTD_human	"To study beta1-adrenoceptor gene (<span class=""gene"" id=""21516734-1-34-39"">ADRB1</span>) polymorphism on the development and course of chronic heart failure (CHF) and on the efficiency of its treatment with the beta-adrenoblocker carvedilol in patients with coronary <span class=""disease"" id=""21516734-1-219-232"">heart failure</span>."	21516734.0	2011.0
Heart failure	C0018801	PDE5A	8654	0.02	AlteredExpression		BEFREE	"Increased myocardial <span class=""gene"" id=""19139381-11-21-25"">PDE5</span> expression in patients with advanced cardiomyopathy may contribute to the development of <span class=""disease"" id=""19139381-11-115-128"">heart failure</span> and represents an important therapeutic target."	19139381.0	2009.0
Heart failure	C0018801	MIR134	406924	0.01	AlteredExpression		BEFREE	"In conclusion, circulating miR-328 and <span class=""gene"" id=""24833470-10-39-46"">miR-134</span> could be potential indicators for AMI, and the miRNA levels are associated with increased risk of mortality or development of <span class=""disease"" id=""24833470-10-173-186"">heart failure</span>."	24833470.0	2015.0
Heart failure	C0018801	UCN2	90226	0.31	Therapeutic		CTD_human	"These results support a role for <span class=""gene"" id=""16330704-10-33-37"">Ucn2</span> in pressure/volume homeostasis in <span class=""disease"" id=""16330704-10-72-74"">HF</span> and suggest that the peptide may have therapeutic potential in this disease."	16330704.0	2006.0
Heart failure	C0018801	NSMCE2	286053	0.1	Biomarker		HPO			
Heart failure	C0018801	ACE	1636	0.6	AlteredExpression		BEFREE	"First, we investigated the gene expression of <span class=""gene"" id=""7713116-5-46-49"">ACE</span> in human <span class=""disease"" id=""7713116-5-59-72"">heart failure</span>."	7713116.0	1995.0
Heart failure	C0018801	ACE2	59272	0.29	Biomarker		BEFREE	"<span class=""gene"" id=""10969042-1-0-4"">ACE2</span>, the first known human homologue of angiotensin-converting enzyme (ACE), was identified from 5' sequencing of a human <span class=""disease"" id=""10969042-1-123-136"">heart failure</span> ventricle cDNA library."	10969042.0	2000.0
Heart failure	C0018801	CALM1	801	0.09	AlteredExpression		BEFREE	"Ca2+/<span class=""gene"" id=""18218981-0-5-15"">calmodulin</span>-dependent protein kinase IIdelta and protein kinase D overexpression reinforce the histone deacetylase 5 redistribution in <span class=""disease"" id=""18218981-0-139-152"">heart failure</span>."	18218981.0	2008.0
Heart failure	C0018801	POMC	5443	0.31	Biomarker		CTD_human	The role of endogenous opioids in congestive heart failure: effects of nalmefene on systemic and regional hemodynamics in dogs.	3026683.0	1987.0
Heart failure	C0018801	CSRP3	8048	0.29	AlteredExpression		BEFREE	"Decreased expression of the <span class=""gene"" id=""10851202-0-28-54"">cardiac LIM domain protein</span> <span class=""gene"" id=""10851202-0-55-58"">MLP</span> in chronic human <span class=""disease"" id=""10851202-0-76-89"">heart failure</span>."	10851202.0	2000.0
Heart failure	C0018801	SERPINA3	12	0.02	Biomarker		BEFREE	"Among these genes, many were observed to be involved in mitochondrial dysfunction and oxidative phosphorylation and 3 extracellular molecules, including periostin, pleiotrophin, and <span class=""gene"" id=""19638707-7-182-190"">SERPINA3</span>, which might become novel diagnostic and therapeutic targets for <span class=""disease"" id=""19638707-7-256-258"">HF</span>."	19638707.0	2009.0
Heart failure	C0018801	PPP1R1A	5502	0.36	GeneticVariation		BEFREE	"The human <span class=""variant"" dbSNP=""rs34376731"" genes_norm=""5502"">G147D</span>-protein phosphatase 1 <span class=""gene"" id=""18698139-0-38-49"">inhibitor-1</span> polymorphism is <span class=""negexp"">not associated</span> with altered clinical characteristics in <span class=""disease"" id=""18698139-0-122-135"">heart failure</span>."	18698139.0	2009.0
Heart failure	C0018801	S100A1	6271	0.1	AlteredExpression		BEFREE	"On the other hand, numerous studies in small and large animal <span class=""disease"" id=""20645037-9-62-75"">heart failure</span> models showed that <span class=""gene"" id=""20645037-9-95-101"">S100A1</span> overexpression results in reversed maladaptive myocardial remodeling, long-term rescue of contractile performance, and superior survival in response to myocardial infarction, indicating the potential of <span class=""gene"" id=""20645037-9-305-311"">S100A1</span>-based therapeutic interventions."	20645037.0	2010.0
Heart failure	C0018801	DGAT1	8694	0.01	Biomarker		BEFREE	"Cardiomyocyte-specific loss of diacylglycerol acyltransferase 1 (<span class=""gene"" id=""25157099-0-65-70"">DGAT1</span>) reproduces the abnormalities in lipids found in severe <span class=""disease"" id=""25157099-0-127-140"">heart failure</span>."	25157099.0	2015.0
Heart failure	C0018801	SERPINA3	12	0.02	Biomarker		BEFREE	"MiR-137 directly targeted <span class=""gene"" id=""23640964-13-26-29"">ACT</span>, thereby indicating that <span class=""gene"" id=""23640964-13-55-58"">ACT</span> and miR-137 play a role in the pathophysiology of <span class=""disease"" id=""23640964-13-109-111"">HF</span> and reverse remodeling during mechanical support."	23640964.0	2013.0
Heart failure	C0018801	CASP3	836	0.05	Biomarker		BEFREE	"Inhibitory cardiac transcription factor, SRF-N, is generated by <span class=""gene"" id=""12874181-0-64-73"">caspase 3</span> cleavage in human <span class=""disease"" id=""12874181-0-92-105"">heart failure</span> and attenuated by ventricular unloading."	12874181.0	2003.0
Heart failure	C0018801	NM	4827	0.04	Biomarker		BEFREE	"In contrast, it has been reported that elevated serum levels of IL-6 cytokines and <span class=""gene"" id=""18246092-4-83-88"">gp130</span> proteins are strong prognostic markers for morbidity and mortality in patients with <span class=""disease"" id=""18246092-4-173-186"">heart failure</span> or after myocardial infarction."	18246092.0	2008.0
Heart failure	C0018801	MYBPC3	4607	0.04	GeneticVariation		BEFREE	"Here, we describe a deletion of 25 bp in the gene encoding cardiac myosin binding protein C (<span class=""gene"" id=""19151713-4-93-99"">MYBPC3</span>) that is associated with heritable cardiomyopathies and an increased risk of <span class=""disease"" id=""19151713-4-177-190"">heart failure</span> in Indian populations (initial study OR = 5.3 (95% CI = 2.3-13), P = 2 x 10(-6); replication study OR = 8.59 (3.19-25.05), P = 3 x 10(-8); combined OR = 6.99 (3.68-13.57), P = 4 x 10(-11)) and that disrupts cardiomyocyte structure in vitro."	19151713.0	2009.0
Heart failure	C0018801	SELP	6403	0.2	Biomarker		RGD	Inhibition of platelet activation in rats with severe congestive heart failure by a novel endothelial nitric oxide synthase transcription enhancer.	19193626.0	2009.0
Heart failure	C0018801	NPPB	4879	0.6	Therapeutic		CTD_human	The prognostic value of big endothelin-1 in more than 2,300 patients with heart failure enrolled in the Valsartan Heart Failure Trial (Val-HeFT).	16762801.0	2006.0
Heart failure	C0018801	MFN2	9927	0.01	Biomarker		BEFREE	"Mice lacking <span class=""gene"" id=""24874428-5-13-24"">mitofusin 2</span> (<span class=""gene"" id=""24874428-5-26-30"">Mfn2</span>) in hearts have impaired parkin-mediated mitophagy leading to accumulation of damaged ROS-producing organelles and progressive <span class=""disease"" id=""24874428-5-158-171"">heart failure</span>."	24874428.0	2014.0
Heart failure	C0018801	GRK2	156	0.6	Biomarker		BEFREE	"The most abundant cardiac GRK, known as <span class=""gene"" id=""15242731-6-40-44"">GRK2</span> or beta AR kinase 1 (<span class=""gene"" id=""15242731-6-66-75"">beta ARK1</span>), is increased in human <span class=""disease"" id=""15242731-6-100-102"">HF</span>, and has been implicated in the pathogenesis of dysfunctional cardiac beta AR signaling."	15242731.0	2005.0
Heart failure	C0018801	PIK3CG	5294	0.33	GeneticVariation		BEFREE	"Mice deficient in <span class=""gene"" id=""17404510-4-18-22"">PI3K</span>(p110alpha) displayed accelerated <span class=""disease"" id=""17404510-4-56-69"">heart failure</span> in response to dilated or hypertrophic cardiomyopathy."	17404510.0	2007.0
Heart failure	C0018801	GOLGB1	2804	0.01	Biomarker		BEFREE	"Uptake-1 overexpression significantly improved left ventricular (LV) diameters (LV end-diastolic diameter: in <span class=""gene"" id=""16166553-10-110-113"">GCP</span>-overexpressing failing rabbits (GFP-CHF), 17.4+/-0.4 mm; in uptake-1-CHF rabbits, 15.6+/-0.6 mm) and systolic contractility (fractional shortening: GFP-CHF, 20.7+/-0.6%; uptake-1-CHF, 27.3+/-0.7%), as assessed by echocardiography at the end of the <span class=""disease"" id=""16166553-10-362-375"">heart failure</span> protocol."	16166553.0	2005.0
Heart failure	C0018801	SLC22A5	6584	0.11	GeneticVariation		BEFREE	"Genetic variants of <span class=""gene"" id=""21641380-2-20-25"">OCTN2</span>, for example, reduce uptake of carnitine, leading to <span class=""disease"" id=""21641380-2-79-92"">heart failure</span>."	21641380.0	2011.0
Heart failure	C0018801	TTN	7273	0.09	GeneticVariation		BEFREE	"Frameshift mutations in the TTN gene encoding <span class=""gene"" id=""25759365-1-46-51"">titin</span> are a major cause for inherited forms of dilated cardiomyopathy (DCM), a heart disease characterized by ventricular dilatation, systolic dysfunction, and progressive <span class=""disease"" id=""25759365-1-218-231"">heart failure</span>."	25759365.0	2016.0
Heart failure	C0018801	ABCC6	368	0.1	Biomarker		HPO			
Heart failure	C0018801	CP	1356	0.01	Biomarker		BEFREE	"<span class=""gene"" id=""23861484-0-0-13"">Ceruloplasmin</span> and <span class=""disease"" id=""23861484-0-18-31"">heart failure</span> in the Atherosclerosis Risk in Communities study."	23861484.0	2013.0
Heart failure	C0018801	UCN2	90226	0.31	Therapeutic		CTD_human	"Compared with control data, <span class=""gene"" id=""16330704-4-28-32"">Ucn2</span> induced rapid and dose-dependent increases in cardiac output (peak effects: normal 4.3+/-0.2 versus 6.1+/-0.2 L/min, P&lt;0.001; <span class=""disease"" id=""16330704-4-159-161"">HF</span> 2.3+/-0.1 versus 4.5+/-0.2 L/min, P&lt;0.001) and reductions in peripheral resistance (normal 20.2+/-1.0 versus 15.2+/-0.8 mm Hg/L per minute, P&lt;0.01; <span class=""disease"" id=""16330704-4-310-312"">HF</span> 32.2+/-1.7 versus 13.6+/-0.5 mm Hg/L per minute, P&lt;0.001) and left atrial pressure (normal 4.3+/-0.3 versus 0.5+/-0.2 mm Hg, P&lt;0.01; <span class=""disease"" id=""16330704-4-446-448"">HF</span> 22.9+/-0.6 versus 5.1+/-1.8 mm Hg, P&lt;0.001)."	16330704.0	2006.0
Heart failure	C0018801	FTH1	2495	0.2	Biomarker		RGD	"The decrease in <span class=""gene"" id=""18992754-12-16-19"">FHC</span> expression in failing hearts may play an important role in the pathogenesis of <span class=""disease"" id=""18992754-12-99-112"">heart failure</span>."	18992754.0	2009.0
Heart failure	C0018801	AGT	183	0.6	AlteredExpression		BEFREE	"Refractory hyperaldosteronism in <span class=""disease"" id=""25036270-0-33-46"">heart failure</span> is associated with plasma renin activity and <span class=""gene"" id=""25036270-0-92-107"">angiotensinogen</span> polymorphism."	25036270.0	2016.0
Heart failure	C0018801	MIR150	406942	0.02	AlteredExpression		BEFREE	"In conclusion, <span class=""gene"" id=""24462065-9-15-22"">miR-150</span> expression levels in platelets of patients with systolic <span class=""disease"" id=""24462065-9-80-82"">HF</span> with AF are significantly reduced and correlated to the cell-free circulating levels of this miRNA."	24462065.0	2014.0
Heart failure	C0018801	AVP	551	0.34	Biomarker		BEFREE	"Heterologous expression of V2Rs in the myocardium could result in a positive inotropic effect by using the endogenous high concentrations of <span class=""gene"" id=""10747352-3-141-144"">AVP</span> in <span class=""disease"" id=""10747352-3-148-161"">heart failure</span>."	10747352.0	2000.0
Heart failure	C0018801	PPP1R1A	5502	0.36	GeneticVariation		BEFREE	"These findings suggest that the human <span class=""variant"" dbSNP=""rs1249958"" genes_norm=""5502"">G109E</span> <span class=""gene"" id=""26455482-13-44-55"">inhibitor-1</span> variant impairs SR Ca-cycling and promotes arrhythmogenesis under stress conditions, which may present an additional insult in the compromised function of <span class=""disease"" id=""26455482-13-211-224"">heart failure</span> carriers."	26455482.0	2016.0
